BLOQUE;Módulo del programa;Tipo de oferente;Nombre de la institución oferente;Imagen del oferente;Datos de contacto;RECURSOS IDENTIFICADOS;Propósito;Modalidad;Tipo;Aportes al programa;Fuentes de financiación;Enlace;;;Observ.;Mensajes;Atributos;Ejes;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Innovación tecnológica (Ciencia y tecnología);Externo;Catedra UNESCO y Universidad Oberta de Catalunya;;"País: Naciones Unidas – Instituto Internacional para la Educación Superior en América Latina y el Caribe. 
Dirección: Edificio Asovincar, 1062-A. Av. Los Chorros con Calle Acueducto, Altos de Sebucán. Caracas, Venezuela. 
Teléfono: +58 (212) 2861020.
Correo electrónico: Info-iesalc@unesco.org ";Cátedra UNESCO de Alimentación, Cultura y Desarrollo;La Cátedra UNESCO de Alimentación, Cultura y Desarrollo tiene como objetivo promover la investigación y la educación en tres áreas principales: la comida, la cultura (incluyendo el conocimiento, la diversidad social y diferentes adaptaciones locales) y el desarrollo (cubriendo áreas como la nutrición, el desarrollo rural, la economía local y global, los negocios, la comunicación, las regulaciones, la promoción de las mejores prácticas, etc.). ;Virtual;Curso;Alimentos como un elemento social y cultural. Lo hace mediante la mejora de los vínculos entre la educación, la investigación y el desarrollo de la agricultura sostenible, y centrándose en el papel de las TIC y la alfabetización digital;UNESCO y Universidad Oberta de Catalunya. ;http://www.uoc.edu/portal/ca/universitat/catedres/catedra-unesco-alimentacio-cultura-desenvolupament/index.html   ;;;;; Considerar el impacto, positivo y negativo, de ciertos atributos de los alimentos sobre la salud humana.;1. Ciencia, tecnología e innovación;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"

BLOQUE 1. Entendiendo el funcionamiento de los SAA de ALC y el mundo";Externo;Catedra UNESCO, UNED y Fundación Triptolemos;;"País: Naciones Unidas – Instituto Internacional para la Educación Superior en América Latina y el Caribe. 
Dirección: Edificio Asovincar, 1062-A. Av. Los Chorros con Calle Acueducto, Altos de Sebucán. Caracas, Venezuela. 
Teléfono: +58 (212) 2861020.
Correo electrónico: Info-iesalc@unesco.org ";Science and Innovation for Sustainable Development: Global Food Production and Safety;Los objetivos definidos en el Artículo 2 del convenio firmado con UNESCO, aparte de crear un network entre instituciones de educación superior e investigación y expertos en producción global de alimentos y, otras actividades generales propias de las Cátedras UNESCO, son “diseñar e implementar, junto con partners, actividades (incluyendo investigación) focalizadas en las cuatro áreas del sistema alimentario definidas por Fundación Triptolemos y diseminar los resultados ampliamente”. Las 4 áreas o ejes del Sistema Alimentario Global visto por Fundación Triptolemos y que definen la actividad de la Cátedra UNESCO son: 1. Disponibilidad (recursos naturales,  materias primas agrarias, ganaderas y de pesca, producción de productos elaborados, procesos tecnológicos, temas de nutrición, salud, dietas…). 2. Economía (estudios de mercado, micro y macro economía…). 3. Políticas públicas (regulaciones y legislación agroalimentaria, comercio internacional, exportación…). 4. Saber(conocimiento, cultura, gastronomía, formación, consumidor, nuevos productos, estudios de mercado…);Virtual;Curso;Bloque 1 y 2. Salud Publica, Nutricion Comunitaria Y Prevencion De La Enfermedad A Traves De La Restauracion Colectiva Social, Alimentación y Cultura. ;Catedra UNESCO, UNED y Fundación Triptolemos;https://formacionpermanente.uned.es/tp_actividad/idactividad/10605    ;;;;; Considerar el impacto, positivo y negativo, de ciertos atributos de los alimentos sobre la salud humana.;1. Ciencia, tecnología e innovación;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"BLOQUE 1. Transformación continuada de los SAA: i) objetivos económicos, sociales y ambientales; ii) acuerdos y compromisos nacionales e internacionales";Externo;Catedra UNESCO, UNED y Fundación Triptolemos;;"País: Naciones Unidas – Instituto Internacional para la Educación Superior en América Latina y el Caribe. 
Dirección: Edificio Asovincar, 1062-A. Av. Los Chorros con Calle Acueducto, Altos de Sebucán. Caracas, Venezuela. 
Teléfono: +58 (212) 2861020.
Correo electrónico: Info-iesalc@unesco.org ";Sostenibilidad Alimentaria y Ambiental: Un reto de los Objetivos de Desarrollo Sostenible (ODS) 2030;El objetivo del curso es tratar cuestiones relativas a la sostenibilidad alimentaria y ambiental que se contemplan en la Agenda 2030, y que deben abordarse de forma interdisciplinar. En el curso se tratarán aspectos sobre el sistema alimentario sostenible que incluyen la producción de alimentos, la seguridad alimentaria, la mejora de la alimentación y la erradicación de la malnutrition, etc. relacionados con el “Objetivo 2. Hambre cero”. Así mismo, se abordarán aspectos del “Objetivo 12. Producción y consumo responsable” como la generación de residuos y el desperdicio de alimentos, la necesidad de una producción agraria de alimentos segura, sostenible y respetuosa con el medio ambiente, la educación nutricional como instrumento esencial para estimular comportamientos saludables, etc.;Virtual;Curso;Bloques 1 a 4, 6. Medio ambiente y salud: elementos clave en un sistema agroalimentario, Cambios y enseñanzas alimentarias de la COVID-19, Seguridad alimentaria y ambiental en la producción agrícola, El desequilibrio alimentario antesala de patologías prevalentes: obesidad y malnutrición, Seguridad alimentaria y etiquetado nutricional. ;Catedra UNESCO, UNED y Fundación Triptolemos;https://www.triptolemos.org/wp-content/uploads/2021/06/Diptico-de-Sostenibilidad-Alimentaria.pdf;;;;; La producción de alimentos debe ser ambientalmente sustentables y no contribuir al calentamiento global.;1. Ciencia, tecnología e innovación;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Innovación tecnológica (Ciencia y tecnología);Externo;CATIE;;"País: Costa Rica. 
Dirección: V8RV+4PF, Provincia de Cartago, Turrialba, Costa Rica. 
Teléfono: (506)2558-2000.
Correo electrónico: comunica@catie.ac.cr; catie@catie.ac.cr; Coordinadora Académica de la Maestría Dra. Nancy Chaves Méndez npchaves@catie.ac.cr. ";Maestría en intensificación agroecológica y seguridad alimentaria nutricional (MIASAN);La maestría MIASAN tiene como objetivo central ofrecer herramientas técnicas, científicas y políticas para formar profesionales capaces de evaluar situaciones complejas de riesgo de inseguridad alimentaria y nutricional, para que puedan proponer estrategias de acción. La formación permite analizar las causas a nivel local, regional e internacional, diseñar intervenciones necesarias, así como proponer y ejecutar proyectos de desarrollo e investigación aplicada para fomentar la seguridad alimentaria y nutricional, al mismo tiempo que se mejora la conservación de los recursos naturales con base en un enfoque de intensificación agroecológica. ;Virtual;Maestría;Todos los cursos son potenciales aportantes al programa de fortalecimiento de capacidades. Destacan los cursos 2, 3, 4 ,6 y 10. ;CATIE;https://marketing.catie.ac.cr/landing/virtuales/virtual_miasan/;;;;;;;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"BLOQUE 1. Transformación continuada de los SAA: i) objetivos económicos, sociales y ambientales; ii) acuerdos y compromisos nacionales e internacionales";Externo;CATIE;;"País: Costa Rica. 
Dirección: V8RV+4PF, Provincia de Cartago, Turrialba, Costa Rica. 
Teléfono: (506)2558-2000.
Correo electrónico: comunica@catie.ac.cr; catie@catie.ac.cr; Coordinadora Académica de la Maestría Dra. Nancy Chaves Méndez npchaves@catie.ac.cr. ";Diplomado Virtual Objetivos de Desarrollo Sostenible;El Diplomado Virtual Objetivos de Desarrollo Sostenible contempla tres cursos destinados a brindar una oportuna capacitación a profesionales de América Latina y el Caribe, así como del mundo, que buscan fortalecer sus conocimientos para mejorar e impulsar programas de seguridad alimentaria. Esto como parte de la responsabilidad de hacer efectivo el proceso de comprensión y los alcances a los cuales se deben comprometer los países para asegurar la alimentación de sus pueblos. En este sentido, el diplomado se alinea a las acciones clave del renovado y ajustado marco de referencia internacional y en particular a los 17 Objetivos de Desarrollo Sostenible (ODS). ;Virtual;Diplomado;Curso 2, módulo 3, y todo el curso 3. Reconocer y analizar la incidencia y potencial de los SAA en el logro de los ODS 2030. ;CATIE;https://www.catie.ac.cr/campus-virtual/diplomado-virtual-objetivos-de-desarrollo-sostenible/ ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Innovación tecnológica (Ciencia y tecnología);Externo;CATIE;;"País: Costa Rica. 
Dirección: V8RV+4PF, Provincia de Cartago, Turrialba, Costa Rica. 
Teléfono: (506)2558-2000.
Correo electrónico: comunica@catie.ac.cr; catie@catie.ac.cr; Coordinadora Académica de la Maestría Dra. Nancy Chaves Méndez npchaves@catie.ac.cr. ";Diplomado Virtual Integrando La Adaptación al Cambio climático en la Planificación del Desarrollo;El Instituto Interamericano de Cooperación para la Agricultura (IICA) y el CATIE (Centro Agronómico Tropical de Investigación y Enseñanza) buscan, a través de este diplomado virtual, fortalecer a los líderes en agricultura y recursos naturales de los países miembros de ambas instituciones en la planificación del desarrollo bajo el contexto del cambio climático. ;Virtual;Diplomado;Desde el contenido 4 al 8. ;IICA y CATIE. ;https://www.catie.ac.cr/campus-virtual/integracion-la-adaptacion-al-cambio-climatico-la-planificacion-del-desarrollo/ ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Inversión y financiamiento;Externo;Ceai3 – Campus de Excelencia Internacional Agroalimentaria;;"País: España. 
Dirección: C. Alfonso XIII, 13, 14001 Córdoba, España. 
Teléfono: +34 957 21 30 69.
Correo electrónico: administracion@ceia3.es ";Máster en Gestión de la Actividad Agroalimentaria ;El objetivo formativo del presente Master es ofrecer al alumnado una formación de calidad de carácter especializado en Derecho y Empresa fundamentalmente con conocimientos de Economía y Agronomía, necesarios para dar respuesta social a las exigencias de la Unión Europea, en relación con la mejora en la competitividad e innovación del productor unido a la información y garantías al consumidor en el ejercicio de su libertad de elección, en marco de las políticas de la OCM y de la UE internamente y en sus Tratados con Mercosur y CETA. ;Semipresencial;Maestría;Las asignaturas señaladas de agricultura sostenible,  desarrollo rural, empresa familiar, gestión de la empresa agroalimentaria, economía agroalimentaria y sostenibilidad, finanzas y empresa agraria, e innovación agroalimentaria. ;U. de Almería;https://www.ual.es/estudios/masteres/presentacion/7116  ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Sanidad y calidad de los alimentos;Externo;Ceai3 – Campus de Excelencia Internacional Agroalimentaria;;"País: España. 
Dirección: C. Alfonso XIII, 13, 14001 Córdoba, España. 
Teléfono: +34 957 21 30 69.
Correo electrónico: administracion@ceia3.es ";Máster en Biotecnología Industrial y Agroalimentaria;Con este Máster se pretende formar profesionales capaces de contribuir al desarrollo de una bio-economía basada en el conocimiento científico que mejore la competitividad de nuestras empresas en los sectores de la salud, agroalimentación y el medio ambiente;Presencial;Maestría;Las asignaturas señaladas de seguridad e innovación en el control de la calidad agroalimentaria, biotecnología de subproductos y residuos, nutrición y modelización digestiva y biotecnología de alimentos. ;U. de Almería;https://www.ual.es/estudios/masteres/presentacion/7098;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Identificación y análisis de evidencia sobre buenas prácticas y lecciones aprendidas en medios e instrumentos;Externo;Ceai3 – Campus de Excelencia Internacional Agroalimentaria;;"País: España. 
Dirección: C. Alfonso XIII, 13, 14001 Córdoba, España. 
Teléfono: +34 957 21 30 69.
Correo electrónico: administracion@ceia3.es ";Máster en Bioeconomía Circular y Sostenibilidad;El Máster planteado se inserta plenamente en las estrategias andaluzas, española y europea de Bioeconomía sostenible con la finalidad de contribuir a la formación de profesionales capaces de llevar a cabo el cambio de paradigma de la economía lineal a una economía circular y donde los residuos sean algo más que una fuente de energía primaria y pasen a ser la materia prima para cadenas de alto valor. ;Presencial;Maestría;Las asignaturas señaladas de gestión de empresas e innovación (UCO), marco Normativo, Político y Estratégico de la Bioeconomía y la Economía Circular (UCO), sistemas Agroalimentarios como fuentes de materias primas en el marco de la Bioeconomía y producción Biotecnológica, alimentos funcionales, y nutracéuticos (UCO). ;U. de Almería y U. de Cordoba. ;https://www.ual.es/estudios/masteres/presentacion/7121;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Identificación y análisis de evidencia sobre buenas prácticas y lecciones aprendidas en medios e instrumentos;Externo;Universidad Javeriana;;"País: Colombia. 
Dirección: Bogotá D.C. - Colombia - Cra 7 #40a-93 Edificio Hernando Arellano Ángel. 
Teléfono: PBX: (571) 320-8320 ext. 2102.
Correo electrónico: direcontinua@javeriana.edu.co ";Curso Gestión socio ambiental empresarial: Integración de indicadores de desarrollo sostenible;El objetivo principal de este programa es presentar de manera integrada los conceptos para diseñar, construir e implementar indicadores que apoyen la gestión empresarial hacia el logro de las metas y de los Objetivos de Desarrollo Sostenible.;Virtual;Curso;Módulos 2 a 4. Diseño de indicadores para la evaluación y gestión de actividades empresariales bajo el enfoque de los ODS.;U. Javeriana;https://educacionvirtual.javeriana.edu.co/gestion-socio-ambiental-empresarial#direcontinua@javeriana.edu.co ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Innovación tecnológica (Ciencia y tecnología);Externo;Universidad de Costa Rica;;"País: Costa Rica. 
Dirección: Universidad de Costa Rica, Sede ""Rodrigo Facio Brenes"" Montes de Oca, San José, Costa Rica.  Código Postal: 11501-2060 San José. 
Teléfono: 25112166. 
Correo electrónico: consultas.odi@ucr.ac.cr ";Programa de Educación y Atención Nutricional Universitario ;"Mediante su Programa de Educación y Atención Nutricional Universitario (PREANU), la Escuela de Nutrición propone y ejecuta metodologías educativas orientadas a mejorar la calidad de vida de las personas a través de buenos hábitos alimenticios; además, brinda servicios de consulta nutricional individual y grupal. El Programa de Educación y Atención Nutricional Universitario (PREANU) es un espacio académico por medio del cual, la Escuela de Nutrición de la Universidad de Costa Rica propone y ejecuta diversas metodologías educativas y de atención nutricional en temas prioritarios para el país y la región.";Virtual;Programa;Taller de Alimentación Saludable, dirigido a público en general.;U. de Costa Rica;http://nutricionparavivirmejor.ucr.ac.cr/index.php/quienes-somos ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Sanidad y calidad de los alimentos;Externo;Universidad de Costa Rica;;"País: Costa Rica. 
Dirección: Universidad de Costa Rica, Sede ""Rodrigo Facio Brenes"" Montes de Oca, San José, Costa Rica.  Código Postal: 11501-2060 San José. 
Teléfono: 25112166. 
Correo electrónico: consultas.odi@ucr.ac.cr ";Promotor de inocuidad de alimentos ;Curso que abarca temas como los conceptos básicos, enfermedades transmitidas por alimentos, buenas prácticas de manufactura y legislación nacional. Al finalizar el curso, los participantes recibirán el carné exigido por el Ministerio de Salud que los faculta como manipuladores de alimentos.;Virtual;Curso;El módulo 1: Generalidades de manipulación de alimentos, contiene los capítulos :III. Principios de nutrición sobre guías de alimentación, IV. Enfermedades transmitidas por alimentos (ETA) y V. Métodos de conservación de alimentos, que pueden aportar al módulo 7 del programa propuesto;U. de Costa Rica;http://www.cita.ucr.ac.cr/sites/default/files/archivos_adjuntos/Plan%20Curricular%20Promotor%20de%20inocuidad%20de%20Alimentos%20%282021%29.pdf;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Aplicación de la Teoría de Cambio y otras metodologías para el diseño de políticas o para la formulación de proyectos;Externo;Universidad de los Andes;;"País:Colombia
Dirección: Cra. 1 #18a-12, Bogotá, Cundinamarca, Colombia; Carrera 1 #19-27
Ed. Aulas Of. 110 Bogotá - Colombia
Teléfono: 01 8000 123 021; +57 1 3394949; (60 + 1) 3324363; 312 4104951
Correo electrómico: educacion.continua@uniandes.edu.co ";Cooperación internacional para el desarrollo: Perspectivas para América Latina y Colombia;El curso explora cómo han evolucionado los países de renta media (PRM) en el escenario internacional y las brechas de desarrollo a las que se están enfrentando en la actualidad, por un lado, y cuál es su posicionamiento en la cooperación internacional y el creciente protagonismo que estos países reivindican en el ámbito internacional. Igualmente, se analiza el impacto de la Agenda 2030 para el Desarrollo Sostenible sobre la cooperación internacional con América Latina y con Colombia y las nuevas formas de cooperación protagonizadas por estos países, con especial referencia a la cooperación Sur-Sur, la cooperación triangular, la cooperación descentralizada, la cooperación horizontal y otras.;Virtual;Curso;Módulos 1, 2 y 3 aportan información sobre el devenir histórico político de la cooperación internacional en latinoamérica. ;U. de los Andes;https://educacioncontinua.uniandes.edu.co/es/programas/cooperacion-internacional-para-el-desarrollo-perspectivas-para-america-latina-y-colombia ;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Aplicación de la Teoría de Cambio y otras metodologías para el diseño de políticas o para la formulación de proyectos;Externo;Universidad de los Andes;;"País:Colombia
Dirección: Cra. 1 #18a-12, Bogotá, Cundinamarca, Colombia; Carrera 1 #19-27
Ed. Aulas Of. 110 Bogotá - Colombia
Teléfono: 01 8000 123 021; +57 1 3394949; (60 + 1) 3324363; 312 4104951
Correo electrómico: educacion.continua@uniandes.edu.co ";Herramientas para la evaluación de políticas públicas en Colombia;El curso de ‘Herramientas para la evaluación de políticas públicas’ busca introducir a los estudiantes a la formulación y evaluación económica de políticas públicas. Para los efectos, se abordarán las herramientas necesarias para este tipo de evaluación y se introducirán los principales modelos teóricos, sus fortalezas y sus principales debilidades. A su vez, el curso, además de abordar estos ejes desde la teoría, será esencialmente práctico mediante la aplicación de casos reales.;Virtual;Curso;Módulos 2 y 3. Herramientas para análisis de mercados y formulación de políticas públicas;U. de los Andes;https://educacioncontinua.uniandes.edu.co/es/programas/herramientas-para-la-evaluacion-de-politicas-publicas-en-colombia  ;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Aplicación de la Teoría de Cambio y otras metodologías para el diseño de políticas o para la formulación de proyectos;Externo;Universidad de los Andes;;"País:Colombia
Dirección: Cra. 1 #18a-12, Bogotá, Cundinamarca, Colombia; Carrera 1 #19-27
Ed. Aulas Of. 110 Bogotá - Colombia
Teléfono: 01 8000 123 021; +57 1 3394949; (60 + 1) 3324363; 312 4104951
Correo electrómico: educacion.continua@uniandes.edu.co ";Sostenibilidad integral y bio-economía;El curso tiene un carácter interdisciplinario, presentando y discutiendo temas de diversas áreas del conocimiento como son: diseño conceptual de procesos (bio)químicos, evaluación técnico-económica de procesos, evaluación ambiental de ciclo de vida (life cycle assessment, LCA), análisis de impactos sociales, y diseño y evaluación de cadenas de valor.;Virtual;Curso;Una síntesis de los partes del contenido puede aportar elementos conceptuales generales sobre sostenibilidad, sus dimensiones y su análisis. ;U. de los Andes;https://educacioncontinua.uniandes.edu.co/es/programas/sostenibilidad-integral-y-bio-economia;;;;;;;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"

BLOQUE 1. Entendiendo el funcionamiento de los SAA de ALC y el mundo";Externo;Universidad Wageningen;;"País: Países Bajos.
Dirección: Código postal 16 6700AA WAGENINGEN.  Dirección para visitas Droevendaalsesteeg 1, 6708PB WAGENINGEN. 
Teléfono: +31317480525. 
Correo electrónico: ria.hulsman@wur.nl  ";Master's Consumer Studies;¿Por qué los consumidores se comportan como lo hacen? ¿Cuáles son sus necesidades, deseos y prácticas? ¿Cómo se relaciona esto con la sociedad, donde la salud y la sostenibilidad se consideran cada vez más importantes? Consumer Studies ofrece un enfoque único para estudiar a los consumidores en una sociedad en constante cambio. Este programa de dos años le brinda el conocimiento y las habilidades para analizar las elecciones de los consumidores, la adquisición de productos y servicios, el uso de estos productos y servicios y la eliminación de ellos.;Presencial;Maestría;Los módulos 1 a 3 proveen información sobre las nuevas tendencias de consumo dimanadas del cambio del tipo de consumidor del sistema alimentario, más conciente e informado. ;U. Wageningen;https://www.wur.nl/en/Education-Programmes/master/MSc-programmes/Consumer-Studies.htm;;;;;;;;
Bloque 1: “Fundamentos para la transformación de los sistemas agroalimentarios de las Américas”;"

BLOQUE 1. Entendiendo el funcionamiento de los SAA de ALC y el mundo";Externo;Universidad Wageningen;;"País: Países Bajos.
Dirección: Código postal 16 6700AA WAGENINGEN.  Dirección para visitas Droevendaalsesteeg 1, 6708PB WAGENINGEN. 
Teléfono: +31317480525. 
Correo electrónico: ria.hulsman@wur.nl  ";Master's Food Safety;El programa de Seguridad Alimentaria de la universidad fue la primera Maestría en Seguridad Alimentaria en todo el mundo. El programa es único, con un enfoque altamente integrado en el campo de la seguridad alimentaria. La mayoría de los demás programas en este campo se centran en los aspectos tecnológicos de la seguridad alimentaria o se centran en la interacción de la seguridad alimentaria y la calidad de los alimentos. El programa en Wageningen se enfoca en los aspectos técnicos, así como en los aspectos legales de la seguridad alimentaria y los integra en la Gestión de Seguridad Alimentaria.;Presencial;Maestría;La especialización en Supply Chain Safety tiene las asignaturas Global Food Security, Food Safety Economics, que pueden aportar en los módulos 1, 2, 4 y 5. En la especialización  Food Law and Regulatory Affairs, destaca la asignatura Global Trade Law, que puede contribuir al módulo 2;U. Wageningen;https://www.wur.nl/en/Education-Programmes/master/MSc-programmes/MSc-Food-Safety.htm;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Aplicación de la Teoría de Cambio y otras metodologías para el diseño de políticas o para la formulación de proyectos;Externo;Embrapa;;"País: Brasil. 
Dirección: Parque Estação Biológica - PqEB s/n°. Brasilia. 
Teléfono: 5332758428; (55) 61 3448-4433.
Correo electrónico: Andréa Denise Hildebrandt Noronha andrea.noronha@embrapa.br ";Produção de Sementes e Mudas de Espécies Florestais Nativas e Viveiros Artesanais: contribuições à gestão ambiental, educação ambiental e aos sistemas agroalimentares sustentáveis - Producción de Semillas y Plántulas de Especies Forestales Nativas y Viveros Artesanales: aportes a la gestión ambiental, educación ambiental y sistemas agroalimentarios sustentables;El curso pretende contribuir a través de estrategias de educación ambiental, intercambio de experiencias y capacitación técnica para la formación de agentes multiplicadores e interesados en actividades relacionadas con la recolección de semillas y producción de plántulas, con énfasis en la producción de especies forestales nativas, como una forma de contribución a la restauración forestal, el uso sostenible de los recursos naturales y la biodiversidad, la formación de sistemas productivos agroalimentarios sostenibles (maíz, frijol, camote, yuca y Sistemas Agroforestales) y el rediseño de agroecosistemas. ;Virtual;Curso;El curso ofrece capacitación en una práctica sustentable útil al desarrollo de la agroecología en el marco de sistemas alimentarios en transformación. ;Embrapa;https://www.embrapa.br/cursos/-/evento/441883/producao-de-sementes-e-mudas-de-especies-florestais-nativas-e-viveiros-artesanais-contribuicoes-a-gestao-ambiental-educacao-ambiental-e-aos-sistemas-agroalimentares-sustentaveis   ;;;;;;;;
Bloque 3: “Del discurso a la acción: un laboratorio para transformar el conocimiento en evidencia”;BLOQUE 3. Identificación y análisis de evidencia sobre buenas prácticas y lecciones aprendidas en medios e instrumentos;Externo;Bayer e IICA;;"País: Alemania. 
Dirección: 550m Este Del Cruce 5 Esquinas Tibas. Costa Rica - San José, Tibás. 
Teléfono: (506) 22436000 Fax : (506) 22571094. 
Correo electrónico: e-learning@iica.int; Orlando Vega, especialista del IICA en energías renovables - orlando.vega@iica.int ";Programa de capacitación Bayer para la facilitación del localg.a.p – Baygap;IICA y BAYER han desarrollado este curso virtual sobre las buenas prácticas agrícolas (B.P.A.) y cubre todos los criterios de cumplimiento de la norma localg.a.p. En el curso se comparte información sobre las buenas prácticas agrícolas, así como el contenido necesario de los criterios de cumplimiento de la norma local.g.a.p bajo la organización GLOBALG.A.P. Los participantes tienen la oportunidad de adquirir esos conocimientos para ponerlos en práctica en sus propios cultivos;Virtual;Curso;Módulo 4. Gestión de la inocuidad alimentaria. Buenas prácticas agrícolas como herramienta para desencadenar procesos productivos más inocuos, responsables y amigables con el medio ambiente. ;IICA y Bayer;http://mfiles.iica.int/CTL/BAYER/Mas-Info.pdf  ;;;;;;;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Favorecimiento de la inclusión y el mejoramiento de medios de vida de mujeres, jóvenes, productores de pequeña escala, sin tierra y otros grupos vulnerables;Interno;IICA;;"Sede Central. 600 m. noreste del Cruce Ipís-Coronado
Vásquez de Coronado, San Isidro 11101 - Costa Rica. San José, Costa Rica

Tel (+506) 2216 0222
Fax (+506) 2216 0233
iicahq@iica.int";Servicio de apoyo para la Agricultura Familiar;El curso tiene como objetivo generar conocimientos y capacidad de análisis sobre conceptos, tipología y buenas prácticas de gestión que permiten mejorar la inclusión, eficiencia e implementación de los servicios de apoyo, para acercarlos más a los agricultores familiares y sus organizaciones. Tiene seis módulos.;Virtual;Curso;"Módulo 1: Marco de referencia; La agricultura familiar y los servicios de apoyo en América latina.";IICA;https://view.genial.ly/5d7a75d4fc69ac0fa37ce075/interactive-content-catalogo-de-cursos-cgcch ;;;;7. Las Américas tienen un papel protagónico en los sistemas alimentarios mundiales.; La producción de alimentos debe ser ambientalmente sustentables y no contribuir al calentamiento global.;2. Inclusión;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Favorecimiento de la inclusión y el mejoramiento de medios de vida de mujeres, jóvenes, productores de pequeña escala, sin tierra y otros grupos vulnerables;Interno;IICA;;"Sede Central. 600 m. noreste del Cruce Ipís-Coronado
Vásquez de Coronado, San Isidro 11101 - Costa Rica. San José, Costa Rica

Tel (+506) 2216 0222
Fax (+506) 2216 0233
iicahq@iica.int";Políticas públicas diferenciadas para la Agricultura Familiar;El curso busca compartir diferentes herramientas y metodologías de análisis, formulación y seguimiento de políticas públicas diferenciadas para agricultura familiar, para que los alumnos, de acuerdo con sus necesidades e intereses, logren apropiarse de los aprendizajes que se dan alrededor de los conceptos y las herramientas compartidas.;Virtual;Curso;Los tres módulos pueden aportar: Teoría de políticas públicas, Conceptualización de política diferenciada para AF y Herramientas de formulación políticas públicas diferenciadas para AF. ;IICA;https://view.genial.ly/5d7a75d4fc69ac0fa37ce075/interactive-content-catalogo-de-cursos-cgcch ;;;;5. Esta transformación del sistema agroalimentario implica cambios en aspectos como los relacionados con las políticas y las regulaciones en el comercio internacional.; Ofrecer una retribución económica y social suficiente, especialmente a los agentes  más vulnerables que participan del SAA.;2. Inclusión;;
Bloque 2: “Medios e instrumentos para la transformación de los sistemas agroalimentarios”;BLOQUE 2. Favorecimiento de la inclusión y el mejoramiento de medios de vida de mujeres, jóvenes, productores de pequeña escala, sin tierra y otros grupos vulnerables;Interno;IICA;;"Sede Central. 600 m. noreste del Cruce Ipís-Coronado
Vásquez de Coronado, San Isidro 11101 - Costa Rica. San José, Costa Rica

Tel (+506) 2216 0222
Fax (+506) 2216 0233
iicahq@iica.int";Poscosecha y buenas prácticas de producción orientadas a la Agricultura Familiar;Curso que busca contribuir al fortalecimiento de las capacidades de los participantes sobre las tecnologías pre y pos cosecha de productos agrícolas y su aplicación para la mejora de la calidad y la reducción de las pérdidas.;Virtual;Curso;Agricultura Familiar, Buenas Prácticas de Producción y Manejo Poscosecha (Generalidades);IICA;https://view.genial.ly/5d7a75d4fc69ac0fa37ce075/interactive-content-catalogo-de-cursos-cgcch ;;;;4. Resulta urgente proveer dietas sustentables, más diversas, nutritivas, acordes con las demandas de los nuevos consumidores de la post modernidad, dentro del concepto de “una sola salud” (One Health); Ofrecer alimentos sanos e inocuos y disminuir las posibilidades de transmisión de enfermedades transmitibles a los humanos.;1. Ciencia, tecnología e innovación;;
